question_id,question,answer,latency,tokens,success
Q01,My landlord in Los Angeles raised my rent by 12% this year. Is that legal under California law?,"Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q02,I live in a 10-year-old apartment in San Diego. Does the statewide rent cap apply to me?,"Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q03,My landlord hasn’t fixed a mold problem for 6 weeks. What are my legal options in California?,"Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q04,Can my landlord in Oakland evict me just because my one-year lease ended?,"Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q05,How long does my landlord have to return my security deposit after I move out in California?,"Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q06,My landlord in Houston shut off my electricity because I was 5 days late on rent. Is that allowed in Texas?,"Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q07,I’ve lived in my Dallas apartment for 8 months. How much notice does my landlord need to give me for a rent increase?,"Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q08,"My AC broke in July in Austin,  and my landlord hasn’t fixed it in 10 days. What can I do under Texas law?","Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q09,"Can a landlord in Texas charge a $3, 000 security deposit for a $1, 200/month apartment?","Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
Q10,I received a 3-day notice to vacate in Fort Worth for late rent. What happens if I don’t leave?,"Error: ""Input to PromptTemplate is missing variables {'num_queries'}.  Expected: ['num_queries', 'question'] Received: ['question']\nNote: if you intended {num_queries} to be part of the string and not a variable, please escape it with double curly braces like: '{{num_queries}}'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT """,0,0,False
